Date,Ticker,Market Cap,Decile,Micro-Cap,Small-Cap,Mid-Cap,Large-Cap
2023-12-31,GREENH.CO,1133.91276808,6,0,1,0,0
2023-12-31,FYNBK.CO,1152.312,6,0,1,0,0
2023-12-31,BO.CO,1183.52291868,6,0,1,0,0
2023-12-31,DJUR.CO,1207.05939865246,6,0,1,0,0
2023-12-31,NORTHM.CO,1303.575,6,0,1,0,0
2023-12-31,PARKEN.CO,1323.2768,7,0,1,0,0
2023-12-31,SKJE.CO,1383.34,7,0,1,0,0
2023-12-31,HHDC.CO,1465.2,7,0,1,0,0
2023-12-31,AOJb.CO,1571.908,7,0,1,0,0
2023-12-31,FOBANK.CO,1579.2,7,0,1,0,0
2023-12-31,GUBRA.CO,2043.71287499999,7,0,0,1,0
2023-12-31,TRIFOR.CO,2073.214395,7,0,0,1,0
2023-12-31,NNIT.CO,2102.49999999999,7,0,0,1,0
2023-12-31,LASP.CO,2309.004355,7,0,0,1,0
2023-12-31,DABA.CO,2331.3403883,7,0,0,1,0
2023-12-31,SPGP.CO,2729.06499999999,7,0,0,1,0
2023-12-31,SOLARb.CO,3003.9,7,0,0,1,0
2023-12-31,NLFSK.CO,3206.33681579999,7,0,0,1,0
2023-12-31,SPKSJF.CO,3471.5196054,7,0,0,1,0
2023-12-31,TIV.CO,4034.08496932237,7,0,0,1,0
2023-12-31,MATAS.CO,4418.83817679999,8,0,0,1,0
2023-12-31,VJBA.CO,4798.60091889,8,0,0,1,0
2023-12-31,CBRAIN.CO,5380.0,8,0,0,1,0
2023-12-31,UIE.CO,6058.80571999999,8,0,0,1,0
2023-12-31,PAALb.CO,6138.7875,8,0,0,1,0
2023-12-31,NTGNT.CO,6658.925364,8,0,0,1,0
2023-12-31,CHEMM.CO,6752.161852,8,0,0,1,0
2023-12-31,BETCO.CO,9528.30144622638,8,0,0,1,0
2023-12-31,STOGR.CO,10205.1,8,0,0,0,1
2023-12-31,DNORD.CO,10914.0,8,0,0,0,1
2023-12-31,NETCG.CO,11279.9999999999,8,0,0,0,1
2023-12-31,EMBLA.CO,11556.45,8,0,0,0,1
2023-12-31,JDAN.CO,12693.9795249999,8,0,0,0,1
2023-12-31,SPNO.CO,12841.7423316,8,0,0,0,1
2023-12-31,DFDS.CO,13074.841894,8,0,0,0,1
2023-12-31,BAVA.CO,13858.4606433,9,0,0,0,1
2023-12-31,SCHO.CO,14101.5,9,0,0,0,1
2023-12-31,FLS.CO,16557.08,9,0,0,0,1
2023-12-31,SYDB.CO,16588.493952,9,0,0,0,1
2023-12-31,TRMDa.CO,17607.2846727999,9,0,0,0,1
2023-12-31,ALMB.CO,18385.8002,9,0,0,0,1
2023-12-31,ALKb.CO,20548.4778550188,9,0,0,0,1
2023-12-31,ZELA.CO,21908.3607899999,9,0,0,0,1
2023-12-31,RBREW.CO,22645.22,9,0,0,0,1
2023-12-31,ISS.CO,23941.9177427,9,0,0,0,1
2023-12-31,AMBUb.CO,24719.3057228,9,0,0,0,1
2023-12-31,NKT.CO,24915.356871,9,0,0,0,1
2023-12-31,GN.CO,25926.804437,9,0,0,0,1
2023-12-31,RILBA.CO,27257.6626185,9,0,0,0,1
2023-12-31,JYSK.CO,31107.69398,9,0,0,0,1
2023-12-31,HLUNa.CO,31811.9369822799,10,0,0,0,1
2023-12-31,KBHL.CO,36501.5131026327,10,0,0,0,1
2023-12-31,ROCKb.CO,42657.86403,10,0,0,0,1
2023-12-31,DEMANT.CO,66286.07424,10,0,0,0,1
2023-12-31,PNDORA.CO,83054.7999999998,10,0,0,0,1
2023-12-31,NSISb.CO,84334.8500399999,10,0,0,0,1
2023-12-31,TRYG.CO,93257.2585619997,10,0,0,0,1
2023-12-31,CARLb.CO,125610.000913096,10,0,0,0,1
2023-12-31,GMAB.CO,142390.622925,10,0,0,0,1
2023-12-31,DANSKE.CO,155538.1056284,10,0,0,0,1
2023-12-31,ORSTED.CO,157348.638244,10,0,0,0,1
2023-12-31,COLOb.CO,162274.399999999,10,0,0,0,1
2023-12-31,MAERSKb.CO,211679.21274,10,0,0,0,1
2023-12-31,VWS.CO,216414.553818,10,0,0,0,1
2023-12-31,DSV.CO,259624.5,10,0,0,0,1
2023-12-31,NOVOb.CO,2398062.8568,10,0,0,0,1
